employeeId,name,dateOfBirth,contact.email,compensation.baseSalary,work.department,location.city,work.startDate
105,Camellia Tytterton,9/18/1992,ctytterton0@acquirethisname.com,48698.66,Services,Essen,10/6/2015
104,Constance Attenbrough,1/24/1950,cattenbrough1@discuz.net,58666.7,Business Development,Silveiros,6/23/2017
104,Jermaine Oswal,5/10/1993,joswal2@unblog.fr,45894.87,Engineering,San Antonio,11/21/2012
104,Lilith Henderson,7/11/1996,lhenderson3@slideshare.net,65119.46,Research and Development,Datan,5/17/2016
103,Dael Alleburton,4/28/1977,dalleburton4@guardian.co.uk,63946.78,Marketing,Paizhou,9/6/2012
101,Lowell Opy,4/22/1976,lopy5@meetup.com,66658.47,Human Resources,Haninge,10/16/2015
102,Korney Nystrom,8/25/2006,knystrom6@statcounter.com,63553.15,Marketing,Liukou,11/23/2016
104,Hesther Zamudio,9/7/1973,hzamudio7@bloomberg.com,57497.71,Human Resources,Mizque,4/27/2011
102,Karlan Tanner,4/6/2007,ktanner8@delicious.com,45157.06,Business Development,Al Buq‘ah,1/25/2012
101,Sophia Di Biaggi,4/11/1983,sdi9@soundcloud.com,60662.5,Legal,Rancagua,10/24/2016
103,Merwyn Asmus,11/28/2009,masmusa@tumblr.com,68688.44,Engineering,Vila Real de Santo António,4/20/2015
103,Todd Kleen,12/21/2004,tkleenb@ft.com,61534.29,Legal,Gaowu,10/2/2017
102,Ora Eldrid,3/26/1998,oeldridc@uiuc.edu,65560.28,Business Development,Quinta do Sobrado,2/19/2016
102,Helen Uridge,1/7/1950,huridged@foxnews.com,50122.12,Product Management,Volgograd,12/31/2015
102,Devonne Seppey,10/24/1951,dseppeye@oakley.com,45590.68,Product Management,Spirit River,3/4/2018
103,Micky Powling,7/29/1962,mpowlingf@hatena.ne.jp,61435.4,Product Management,Palanit,10/6/2011
102,Fielding Gowthorpe,3/30/1965,fgowthorpeg@wisc.edu,53911.95,Marketing,Carvalhinho,12/30/2016
104,Lara Jaumet,4/1/1972,ljaumeth@multiply.com,68807.0,Research and Development,Almaznyy,10/25/2018
104,Lauretta Kundt,4/8/1970,lkundti@google.pl,67494.17,Engineering,Bodiosa a Velha,8/5/2018
103,Waneta Trelease,2/16/1988,wtreleasej@com.com,58739.24,Accounting,Jiangna,3/27/2017
103,Amelina Browett,2/2/2003,abrowettk@mit.edu,54140.58,Accounting,Ciénaga,1/25/2014
103,Klarika Everest,9/24/2011,keverestl@sogou.com,55712.5,Marketing,Calapan,5/6/2018
104,Ray Charker,11/12/2006,rcharkerm@issuu.com,65323.77,Engineering,Örebro,3/27/2015
105,Rozelle Ogley,9/7/1952,rogleyn@nationalgeographic.com,47914.16,Legal,Kumagaya,5/8/2013
104,Kale Layzell,11/5/2001,klayzello@skyrock.com,53780.78,Sales,Pā’īn-e Bāzār-e Rūdbār,1/3/2015
102,Felisha Boud,4/12/1952,fboudp@paginegialle.it,46888.62,Research and Development,Penza,4/23/2015
101,Eberto Broom,11/10/1956,ebroomq@multiply.com,55862.39,Business Development,El Viejo,8/5/2011
102,Michele Elgie,4/24/1961,melgier@live.com,58185.52,Sales,San Jose,6/20/2016
101,Kerrin Tollett,12/18/1964,ktolletts@dell.com,45071.53,Sales,Khafizan,10/20/2015
102,Isabelle Langley,4/11/1982,ilangleyt@usgs.gov,62543.11,Marketing,Vievis,4/26/2012
105,Lazarus Goodhew,10/26/1986,lgoodhewu@cpanel.net,68252.39,Research and Development,Priupskiy,2/16/2010
101,Kimbell Barrs,11/17/1992,kbarrsv@oracle.com,65683.68,Training,Saint Croix,5/26/2011
103,Carolynn Dollard,7/24/1985,cdollardw@guardian.co.uk,57965.89,Product Management,Sebina,8/7/2014
103,Honor Lidgate,5/15/1987,hlidgatex@csmonitor.com,48328.18,Product Management,Tieli,2/25/2013
103,Rodrigo Malecky,3/26/1971,rmaleckyy@twitpic.com,63504.11,Engineering,Hongor,8/1/2012
102,Arluene Armstrong,3/28/1982,aarmstrongz@paginegialle.it,49423.33,Marketing,Ždánice,9/25/2010
102,Torrey Stansell,12/25/1967,tstansell10@netvibes.com,57110.76,Business Development,Hamilton,6/28/2017
105,Thornie Vennings,9/30/1988,tvennings11@wufoo.com,66324.78,Sales,Murzuq,1/17/2014
101,Piggy Blaszczyk,4/25/1995,pblaszczyk12@ucsd.edu,67770.06,Training,Pedra Azul,2/1/2017
105,Olin Gadie,2/18/1967,ogadie13@nbcnews.com,53797.25,Engineering,Nanyue,3/26/2014
101,Dennet Peach,3/3/1989,dpeach14@fotki.com,47621.12,Services,Akráta,5/14/2012
101,Elianora Bergen,7/18/1980,ebergen15@wikimedia.org,57286.95,Sales,Nusajaya,4/28/2011
105,Ninon Baudoux,6/21/1977,nbaudoux16@nasa.gov,48744.77,Research and Development,Debre Zeyit,11/27/2017
103,Saunders Mc Meekin,1/7/1955,smc17@constantcontact.com,61645.04,Sales,Bebedouro,10/7/2014
103,Humberto De Leek,12/8/1958,hde18@newyorker.com,47522.02,Legal,Xiema,9/5/2010
101,Miquela Akrigg,2/10/2006,makrigg19@skype.com,50714.6,Engineering,Shuangxi,9/2/2017
104,Fowler Simpole,10/16/1992,fsimpole1a@huffingtonpost.com,52318.83,Engineering,Capandanan,7/26/2016
102,Marta Skydall,11/28/1987,mskydall1b@mit.edu,55273.3,Legal,Metu,6/26/2017
105,Rhody Scheu,5/13/1989,rscheu1c@t.co,69814.49,Marketing,Cheping,2/16/2011
103,Torey Kadar,4/8/1996,tkadar1d@apple.com,51464.68,Research and Development,Dami,6/28/2012
103,Giselle Lockney,12/10/1954,glockney1e@cafepress.com,53010.47,Marketing,Jiahe,7/13/2017
101,Rhona Ricks,6/5/1967,rricks1f@epa.gov,67583.23,Business Development,La Mesa,12/23/2017
102,Lilla Kesley,10/31/1998,lkesley1g@cmu.edu,66340.33,Business Development,Putrajaya,10/3/2016
105,Andrej Antoniou,7/1/1962,aantoniou1h@theglobeandmail.com,48231.67,Marketing,Kalahang,11/27/2013
104,Delmore Matashkin,3/29/2009,dmatashkin1i@angelfire.com,46327.56,Sales,Ribeira do Pombal,2/8/2010
104,Salvador Critch,10/29/1965,scritch1j@thetimes.co.uk,47846.61,Product Management,Nouvelle France,7/10/2013
102,Augustus Calderonello,4/8/2002,acalderonello1k@google.cn,48228.03,Product Management,Saboyá,2/4/2014
101,Randee Bollans,5/24/1992,rbollans1l@sina.com.cn,59496.38,Accounting,Poconé,5/30/2010
101,Nikolai Accombe,1/30/1969,naccombe1m@elegantthemes.com,45777.3,Marketing,Ifakara,11/17/2017
104,Bjorn Walsham,10/5/1962,bwalsham1n@clickbank.net,45630.26,Sales,Kalde Panga,12/23/2014
